date,cities,population,nb_bikes,Nb_User,Broken_Bikes,Nb_Trips,Nb_Km
2020-01-01,Lyon,500000.0,400.0,2152.0,35.992568504336504,4683.0,4940.408331423439
2020-01-01,Paris,2100000.0,200.0,3148.0,14.843757179651393,7587.0,9119.23607613967
2020-01-01,Rennes,215000.0,100.0,3876.0,11.02368535596315,13074.0,28709.807220878687
2020-01-01,Nantes,300000.0,150.0,7204.0,7.791841187203978,22821.0,7771.68468505867
2020-01-01,Berlin,3600000.0,150.0,12386.0,2.9993241300662294,72720.0,164302.88343393037
2020-01-02,Lyon,500000.0,400.0,2160.0,35.90923771968913,6171.0,6460.690306309178
2020-01-02,Paris,2100000.0,200.0,3149.0,14.843747373290363,9226.0,9419.723962965198
2020-01-02,Rennes,215000.0,100.0,3877.0,11.018586824684018,12298.0,30440.602948897736
2020-01-02,Nantes,300000.0,150.0,7223.0,7.769003796179388,22480.0,6638.317165787952
2020-01-02,Berlin,3600000.0,150.0,12392.0,2.9974717501525516,74273.0,175450.58194505522
2020-01-03,Lyon,500000.0,400.0,2164.0,35.82715083097732,5584.0,8316.282217885273
2020-01-03,Paris,2100000.0,200.0,3149.0,14.84012230578803,7815.0,9906.395141002178
2020-01-03,Rennes,215000.0,100.0,3878.0,11.014481468653091,12002.0,29232.082794544967
2020-01-03,Nantes,300000.0,150.0,7251.0,7.768097269967836,26167.0,12067.37994654837
2020-01-03,Berlin,3600000.0,150.0,12407.0,2.992519740814642,64818.0,147128.35336110383
2020-01-04,Lyon,500000.0,400.0,2166.0,35.7695362455386,4906.0,6105.988369643111
2020-01-04,Paris,2100000.0,200.0,3150.0,14.838870533167146,7719.0,8151.052535701534
2020-01-04,Rennes,215000.0,100.0,3878.0,11.010071388435826,12481.0,35635.488632135995
2020-01-04,Nantes,300000.0,150.0,7260.0,7.762786426391112,22123.0,10211.947785466087
2020-01-04,Berlin,3600000.0,150.0,12413.0,2.9923434821484136,66144.0,147517.38884106028
2020-01-05,Lyon,500000.0,400.0,2182.0,35.74836396827057,6086.0,8490.64061922006
2020-01-05,Paris,2100000.0,200.0,3154.0,14.836426768683069,6355.0,6500.520315225668
